sensor_id,hour,avg_temp,min_temp,max_temp,record_count
DHT11_01,2025-10-24 17,16.0,16.0,16.0,371
DHT11_01,2025-10-24 18,16.2,16.0,17.0,1021
DHT11_01,2025-10-24 19,17.0,17.0,17.0,1021
DHT11_01,2025-10-24 20,17.0,17.0,17.0,1021
DHT11_01,2025-10-24 21,17.0,16.0,17.0,1022
DHT11_01,2025-10-24 22,16.1,16.0,17.0,1021
DHT11_01,2025-10-24 23,16.0,16.0,16.0,1022
DHT11_01,2025-10-25 00,15.5,15.0,16.0,1022
DHT11_01,2025-10-25 01,15.0,15.0,15.0,1022
DHT11_01,2025-10-25 02,15.0,15.0,15.0,1022
DHT11_01,2025-10-25 03,15.3,15.0,16.0,1022
DHT11_01,2025-10-25 04,16.0,16.0,16.0,1022
DHT11_01,2025-10-25 05,15.1,15.0,16.0,1021
DHT11_01,2025-10-25 06,16.0,15.0,17.0,1022
DHT11_01,2025-10-25 07,17.0,17.0,17.0,1022
DHT11_01,2025-10-25 08,17.2,17.0,18.0,1017
DHT11_01,2025-10-25 09,17.7,17.0,19.0,1019
DHT11_01,2025-10-25 10,18.5,18.0,19.0,1014
DHT11_01,2025-10-25 11,18.0,18.0,19.0,1007
DHT11_01,2025-10-25 12,18.8,18.0,19.0,1014
DHT11_01,2025-10-25 13,19.0,18.0,19.0,1014
DHT11_01,2025-10-25 14,18.2,18.0,19.0,1009
DHT11_01,2025-10-25 15,17.9,17.0,19.0,1014
DHT11_01,2025-10-25 16,19.0,19.0,19.0,911
DHT11_01,2025-10-25 17,19.0,19.0,19.0,649
DHT11_02,2025-10-24 17,20.0,20.0,20.0,370
DHT11_02,2025-10-24 18,20.3,17.0,21.0,1022
DHT11_02,2025-10-24 19,21.0,18.0,21.0,1021
DHT11_02,2025-10-24 20,21.0,21.0,21.0,1020
DHT11_02,2025-10-24 21,21.0,17.0,21.0,1022
DHT11_02,2025-10-24 22,20.3,20.0,21.0,1021
DHT11_02,2025-10-24 23,20.0,20.0,20.0,1022
DHT11_02,2025-10-25 00,19.7,19.0,20.0,1022
DHT11_02,2025-10-25 01,19.0,19.0,20.0,1022
DHT11_02,2025-10-25 02,19.0,19.0,19.0,1020
DHT11_02,2025-10-25 03,19.3,17.0,20.0,1022
DHT11_02,2025-10-25 04,20.0,19.0,20.0,1022
DHT11_02,2025-10-25 05,19.1,19.0,20.0,1021
DHT11_02,2025-10-25 06,19.9,19.0,21.0,1022
DHT11_02,2025-10-25 07,21.0,21.0,21.0,1021
DHT11_02,2025-10-25 08,21.2,21.0,22.0,1007
DHT11_02,2025-10-25 09,22.1,22.0,24.0,1013
DHT11_02,2025-10-25 10,22.0,22.0,22.0,1003
DHT11_02,2025-10-25 11,22.0,22.0,22.0,986
DHT11_02,2025-10-25 12,22.7,22.0,23.0,993
DHT11_02,2025-10-25 13,22.7,22.0,23.0,995
DHT11_02,2025-10-25 14,22.0,22.0,23.0,974
DHT11_02,2025-10-25 15,22.0,22.0,23.0,979
DHT11_02,2025-10-25 16,22.8,22.0,23.0,882
DHT11_02,2025-10-25 17,22.0,22.0,23.0,636
